"School_ID","Network.x","School_Name.x","Total_Students","Number_of_Bilingual","Bilingual_Percentage","Number_of_SpED","SpED_Percentage","Free/Reduced_Lunch","Lunch_Percentage","Network.y","School_Name.y","Total","White_No","White_Per","AA_No","AA_Per","AsianPI_No","AsianPI_Per","NativeAmerican_No","NativeAmerican_Per","Hispanic_No","Hispanic_Per","Multi_No","Multi_Per","Asian_No","Asian_Per","HawaiiPI_No","HawaiiPI_Per","NA_No","NA_Per"
"609741","Network 16","Gurdon S Hubbard High School","1634","316",19.34,"234",14.32,"1551",94.92,"Network 16","Gurdon S Hubbard High School","1634","26",1.6,"99",6.1,"0",0,"5",0.306,"1484",90.8,"4",0.24,"2",0.122,"0",0,"14",0.857
"609744","Network 14","Northside Learning Center High School","236","82",34.75,"236",100,"198",83.9,"Network 14","Northside Learning Center High School","236","47",19.9,"44",18.6,"0",0,"2",0.8475,"128",54.2,"4",1.69,"11",4.661,"0",0,"0",0
"609756","Network 15","Marie Sklodowska Curie Metropolitan High School","2907","419",14.41,"336",11.56,"2608",89.71,"Network 15","Marie Sklodowska Curie Metropolitan High School","2907","49",1.7,"365",12.6,"0",0,"9",0.3096,"2414",83,"7",0.24,"58",1.995,"2",0.0688,"3",0.103
"609759","Network 15","Roberto Clemente Community Academy High School","671","92",13.71,"175",26.08,"615",91.65,"Network 15","Roberto Clemente Community Academy High School","671","14",2.1,"185",27.6,"0",0,"4",0.5961,"460",68.6,"3",0.45,"4",0.596,"1",0.149,"0",0
"609760","Network 17","George Washington Carver Military Academy HS","479","23",4.8,"31",6.47,"428",89.35,"Network 17","George Washington Carver Military Academy HS","479","6",1.3,"170",35.5,"0",0,"0",0,"302",63,"1",0.21,"0",0,"0",0,"0",0
"609764","ISP","Benito Juarez Community Academy High School","1734","377",21.74,"284",16.38,"1619",93.37,"ISP","Benito Juarez Community Academy High School","1734","18",1,"46",2.7,"0",0,"6",0.346,"1639",94.5,"6",0.35,"11",0.634,"0",0,"8",0.461
"609766","Network 14","Jacqueline B Vaughn Occupational High School","222","69",31.08,"222",100,"167",75.23,"Network 14","Jacqueline B Vaughn Occupational High School","222","53",23.9,"46",20.7,"0",0,"0",0,"120",54.1,"2",0.9,"0",0,"1",0.4505,"0",0
"609769","Network 14","Ray Graham Training Center High School","148","52",35.14,"148",100,"140",94.59,"Network 14","Ray Graham Training Center High School","148","7",4.7,"69",46.6,"0",0,"0",0,"63",42.6,"2",1.35,"7",4.73,"0",0,"0",0
"609780","ISP","Marine Leadership Academy at Ames","831","163",19.61,"81",9.75,"794",95.55,"ISP","Marine Leadership Academy at Ames","831","12",1.4,"12",1.4,"0",0,"1",0.1203,"799",96.1,"2",0.24,"3",0.361,"0",0,"2",0.241
"610304","ISP","Phoenix Military Academy High School","559","41",7.33,"39",6.98,"500",89.45,"ISP","Phoenix Military Academy High School","559","8",1.4,"78",14,"0",0,"2",0.3578,"447",80,"4",0.72,"18",3.22,"2",0.3578,"0",0
"610340","AUSL","Chicago Academy High School","569","78",13.71,"106",18.63,"443",77.86,"AUSL","Chicago Academy High School","569","101",17.8,"46",8.1,"0",0,"4",0.703,"386",67.8,"5",0.88,"26",4.569,"1",0.1757,"0",0
"610357","Network 16","Spry Community Links High School","102","37",36.27,"25",24.51,"95",93.14,"Network 16","Spry Community Links High School","102","1",1,"0",0,"0",0,"1",0.9804,"100",98,"0",0,"0",0,"0",0,"0",0
"610383","Network 15","Greater Lawndale High School For Social Justice","321","85",26.48,"48",14.95,"308",95.95,"Network 15","Greater Lawndale High School For Social Justice","321","2",0.6,"40",12.5,"0",0,"1",0.3115,"278",86.6,"0",0,"0",0,"0",0,"0",0
"610384","ISP","Infinity Math Science and Technology High School","384","65",16.93,"52",13.54,"367",95.57,"ISP","Infinity Math Science and Technology High School","384","0",0,"5",1.3,"0",0,"0",0,"378",98.4,"0",0,"1",0.26,"0",0,"0",0
"610385","Network 15","Multicultural Academy of Scholarship","218","62",28.44,"72",33.03,"210",96.33,"Network 15","Multicultural Academy of Scholarship","218","2",0.9,"41",18.8,"0",0,"0",0,"175",80.3,"0",0,"0",0,"0",0,"0",0
"610386","ISP","Peace & Education Coalition HS","103","20",19.42,"27",26.21,"95",92.23,"ISP","Peace & Education Coalition HS","103","1",1,"24",23.3,"0",0,"0",0,"77",74.8,"0",0,"0",0,"0",0,"1",0.971
"610390","ISP","Hyman G Rickover Naval Academy High School","396","34",8.59,"46",11.62,"333",84.09,"ISP","Hyman G Rickover Naval Academy High School","396","39",9.8,"22",5.6,"0",0,"2",0.5051,"308",77.8,"1",0.25,"23",5.808,"0",0,"1",0.253
"610392","Network 15","World Language Academy High School","364","113",31.04,"62",17.03,"344",94.51,"Network 15","World Language Academy High School","364","2",0.5,"15",4.1,"0",0,"0",0,"343",94.2,"1",0.27,"0",0,"0",0,"3",0.824
"610402","Network 14","DeVry University Advantage Academy HS","142","5",3.52,"11",7.75,"93",65.49,"Network 14","DeVry University Advantage Academy HS","142","13",9.2,"47",33.1,"0",0,"0",0,"75",52.8,"1",0.7,"6",4.225,"0",0,"0",0
"610513","Network 16","Air Force Academy High School","194","15",7.73,"21",10.82,"164",84.54,"Network 16","Air Force Academy High School","194","12",6.2,"89",45.9,"0",0,"1",0.5155,"88",45.4,"3",1.55,"1",0.515,"0",0,"0",0
"610524","Network 15","Louisa May Alcott College Preparatory HS","322","27",8.39,"66",20.5,"240",74.53,"Network 15","Louisa May Alcott College Preparatory HS","322","33",10.2,"57",17.7,"0",0,"2",0.6211,"213",66.1,"5",1.55,"9",2.795,"3",0.9317,"0",0
"610529","Network 15","Ogden International High School","637","15",2.35,"73",11.46,"427",67.03,"Network 15","Ogden International High School","637","75",11.8,"278",43.6,"0",0,"2",0.314,"245",38.5,"18",2.83,"18",2.826,"1",0.157,"0",0
"610558","Network 16","Sarah E. Goode STEM Academy","931","104",11.17,"150",16.11,"808",86.79,"Network 16","Sarah E. Goode STEM Academy","931","5",0.5,"390",41.9,"0",0,"3",0.3222,"525",56.4,"6",0.64,"1",0.107,"1",0.1074,"0",0
"610563","ISP","Back of the Yards IB HS","1072","132",12.31,"78",7.28,"991",92.44,"ISP","Back of the Yards IB HS","1072","11",1,"32",3,"0",0,"7",0.653,"992",92.5,"0",0,"30",2.799,"0",0,"0",0
